N,TAG,ID_YPS,SPP,ALT,ID,Genus,Species,Family
787,92,PEA0187,LACIAG,672,PEA.20.40.92,Lacistema,Lacistema aggregatum,Lacistemataceae
788,10,PEA0188,PAULTU,187,PEA.20.45.10,Paullinia,Paullinia turbacensis,Sapindaceae
789,2,PEA0189,CHR2CA,282,PEA.20.55.2,Chrysophyllum,Chrysophyllum cainito,Sapotaceae
790,40,PEA0190,PAULTU,192,PEA.20.85.40,Paullinia,Paullinia turbacensis,Sapindaceae
791,91,PEA0191,DES2PA,262,PEA.20.90.91,Desmopsis,Desmopsis panamensis,Annonaceae
792,96,PEA0192,PAULTU,594,PEA.20.90.96,Paullinia,Paullinia turbacensis,Sapindaceae
793,105,PEA0193,DES2PA,207,PEA.20.90.105,Desmopsis,Desmopsis panamensis,Annonaceae
794,15,PEA0194,HYBAPR,394,PEA.20.115.15,Hybanthus,Hybanthus prunifolius,Violaceae
795,39,PEA0195,SWARS2,295,PEA.20.120.39,Swartzia,Swartzia simplex var. continentalis,Fabaceae
796,46,PEA0196,MAR2PA,152,PEA.20.120.46,Maripa,Maripa panamensis,Convolvulaceae
797,88,PEA0197,DOLIOL,931,PEA.20.120.88,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
798,23,PEA0198,PRI1AS,296,PEA.20.130.23,Prionostemma,Prionostemma asperum,Celastraceae
799,53,PEA0199,EUGEOE,282,PEA.20.130.53,Eugenia,Eugenia oerstediana,Myrtaceae
800,80,PEA0200,PRI1AS,142,PEA.20.130.80,Prionostemma,Prionostemma asperum,Celastraceae
801,135,PEA0201,PROTTE,567,PEA.20.130.135,Protium,Protium tenuifolium,Burseraceae
802,24,PEA0202,EUGEOE,602,PEA.20.135.24,Eugenia,Eugenia oerstediana,Myrtaceae
803,15,PEA0203,FARAOC,727,PEA.20.140.15,Faramea,Faramea occidentalis,Rubiaceae
804,18,PEA0204,FARAOC,485,PEA.20.140.18,Faramea,Faramea occidentalis,Rubiaceae
805,83,PEA0205,DES2PA,653,PEA.20.145.83,Desmopsis,Desmopsis panamensis,Annonaceae
806,2,PEA0206,ACALDI,123,PEA.20.150.2,Acalypha,Acalypha diversifolia,Euphorbiaceae
807,10,PEA0207,ACALDI,31,PEA.20.150.10,Acalypha,Acalypha diversifolia,Euphorbiaceae
808,84,PEA0208,ACALDI,173,PEA.20.150.84,Acalypha,Acalypha diversifolia,Euphorbiaceae
809,92,PEA0209,ACALDI,264,PEA.20.150.92,Acalypha,Acalypha diversifolia,Euphorbiaceae
810,93,PEA0210,ACALDI,55,PEA.20.150.93,Acalypha,Acalypha diversifolia,Euphorbiaceae
811,195,PEA0211,DOLIOL,417,PEA.25.00.195,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
812,7,PEA0212,LACIAG,425,PEA.25.15.7,Lacistema,Lacistema aggregatum,Lacistemataceae
813,8,PEA0213,MAR2PA,205,PEA.25.20.8,Maripa,Maripa panamensis,Convolvulaceae
814,103,PEA0214,MAR2PA,241,PEA.25.40.103,Maripa,Maripa panamensis,Convolvulaceae
815,180,PEA0215,EUGEOE,295,PEA.25.40.180,Eugenia,Eugenia oerstediana,Myrtaceae
816,186,PEA0216,PAULTU,77,PEA.25.40.186,Paullinia,Paullinia turbacensis,Sapindaceae
817,187,PEA0217,MAR2PA,470,PEA.25.40.187,Maripa,Maripa panamensis,Convolvulaceae
818,189,PEA0218,PROTTE,551,PEA.25.40.189,Protium,Protium tenuifolium,Burseraceae
819,200,PEA0219,SWARS2,715,PEA.25.40.200,Swartzia,Swartzia simplex var. continentalis,Fabaceae
820,195,PEA0220,CAPPFR,323,PEA.25.45.195,Capparidastrum,Capparidastrum frondosum,Capparaceae
821,20,PEA0221,DES2PA,472,PEA.25.50.20,Desmopsis,Desmopsis panamensis,Annonaceae
822,6,PEA0222,PAULTU,273,PEA.25.55.6,Paullinia,Paullinia turbacensis,Sapindaceae
823,7,PEA0223,PROTTE,606,PEA.25.55.7,Protium,Protium tenuifolium,Burseraceae
824,1,PEA0224,MAR2PA,855,PEA.25.60.1,Maripa,Maripa panamensis,Convolvulaceae
825,25,PEA0225,CHR2CA,357,PEA.25.60.25,Chrysophyllum,Chrysophyllum cainito,Sapotaceae
826,4,PEA0226,GUSTSU,299,PEA.25.95.4,Gustavia,Gustavia superba,Lecythidaceae
827,16,PEA0227,HYBAPR,441,PEA.25.95.16,Hybanthus,Hybanthus prunifolius,Violaceae
828,59,PEA0228,HYBAPR,212,PEA.25.95.59,Hybanthus,Hybanthus prunifolius,Violaceae
829,93,PEA0229,DOLIOL,379,PEA.25.95.93,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
830,92,PEA0230,DOLIOL,284,PEA.25.100.92,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
831,84,PEA0231,EUGEOE,565,PEA.25.115.84,Eugenia,Eugenia oerstediana,Myrtaceae
832,87,PEA0232,GUSTSU,301,PEA.25.115.87,Gustavia,Gustavia superba,Lecythidaceae
833,88,PEA0233,PAULTU,274,PEA.25.115.88,Paullinia,Paullinia turbacensis,Sapindaceae
834,99,PEA0234,MAR2PA,312,PEA.25.120.99,Maripa,Maripa panamensis,Convolvulaceae
835,85,PEA0235,MAR2PA,327,PEA.25.125.85,Maripa,Maripa panamensis,Convolvulaceae
836,39,PEA0236,SWARS2,702,PEA.25.130.39,Swartzia,Swartzia simplex var. continentalis,Fabaceae
837,98,PEA0237,GUSTSU,526,PEA.25.130.98,Gustavia,Gustavia superba,Lecythidaceae
838,5,PEA0238,TET2PA,204,PEA.25.135.5,Tetragastris,Tetragastris panamensis,Burseraceae
839,12,PEA0239,TET2PA,245,PEA.25.135.12,Tetragastris,Tetragastris panamensis,Burseraceae
840,28,PEA0240,TET2PA,262,PEA.25.135.28,Tetragastris,Tetragastris panamensis,Burseraceae
841,32,PEA0241,TET2PA,405,PEA.25.135.32,Tetragastris,Tetragastris panamensis,Burseraceae
842,37,PEA0242,TET2PA,430,PEA.25.135.37,Tetragastris,Tetragastris panamensis,Burseraceae
843,39,PEA0243,TET2PA,215,PEA.25.135.39,Tetragastris,Tetragastris panamensis,Burseraceae
844,44,PEA0244,DOLIOL,942,PEA.25.135.44,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
845,104,PEA0245,TET2PA,221,PEA.25.135.104,Tetragastris,Tetragastris panamensis,Burseraceae
846,139,PEA0246,TET2PA,241,PEA.25.135.139,Tetragastris,Tetragastris panamensis,Burseraceae
847,166,PEA0247,TET2PA,217,PEA.25.135.166,Tetragastris,Tetragastris panamensis,Burseraceae
848,38,PEA0248,DOLIOL,631,PEA.25.150.38,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
849,79,PEA0249,EUGEOE,503,PEA.25.160.79,Eugenia,Eugenia oerstediana,Myrtaceae
850,83,PEA0250,HYBAPR,511,PEA.25.160.83,Hybanthus,Hybanthus prunifolius,Violaceae
851,94,PEA0251,HYBAPR,770,PEA.25.165.94,Hybanthus,Hybanthus prunifolius,Violaceae
852,106,PEA0252,EUGEOE,275,PEA.25.165.106,Eugenia,Eugenia oerstediana,Myrtaceae
853,81,PEA0253,HYBAPR,643,PEA.25.170.81,Hybanthus,Hybanthus prunifolius,Violaceae
854,75,PEA0254,EUGEOE,266,PEA.25.180.75,Eugenia,Eugenia oerstediana,Myrtaceae
855,56,PEA0255,MAR2PA,471,PEA.30.45.56,Maripa,Maripa panamensis,Convolvulaceae
856,63,PEA0256,ACALDI,231,PEA.30.45.63,Acalypha,Acalypha diversifolia,Euphorbiaceae
857,70,PEA0257,MAR2PA,325,PEA.30.45.70,Maripa,Maripa panamensis,Convolvulaceae
858,58,PEA0258,EUGEOE,763,PEA.30.50.58,Eugenia,Eugenia oerstediana,Myrtaceae
859,62,PEA0259,FARAOC,425,PEA.30.50.62,Faramea,Faramea occidentalis,Rubiaceae
860,64,PEA0260,FARAOC,622,PEA.30.50.64,Faramea,Faramea occidentalis,Rubiaceae
861,74,PEA0261,CAPPFR,331,PEA.30.55.74,Capparidastrum,Capparidastrum frondosum,Capparaceae
862,1,PEA0262,CAPPFR,441,PEA.30.60.1,Capparidastrum,Capparidastrum frondosum,Capparaceae
863,1,PEA0263,EUGEOE,233,PEA.30.65.1,Eugenia,Eugenia oerstediana,Myrtaceae
864,57,PEA0264,PAULTU,131,PEA.30.70.57,Paullinia,Paullinia turbacensis,Sapindaceae
865,73,PEA0265,HYBAPR,41,PEA.30.70.73,Hybanthus,Hybanthus prunifolius,Violaceae
866,62,PEA0266,LACIAG,671,PEA.30.75.62,Lacistema,Lacistema aggregatum,Lacistemataceae
867,65,PEA0267,PRI1AS,261,PEA.30.75.65,Prionostemma,Prionostemma asperum,Celastraceae
868,184,PEA0268,EUGEOE,244,PEA.30.90.184,Eugenia,Eugenia oerstediana,Myrtaceae
869,185,PEA0269,MOURMY,270,PEA.30.90.185,Mouriri,Mouriri myrtilloides,Melastomataceae
870,31,PEA0270,MOURMY,222,PEA.30.95.31,Mouriri,Mouriri myrtilloides,Melastomataceae
871,12,PEA0271,HYBAPR,510,PEA.30.105.12,Hybanthus,Hybanthus prunifolius,Violaceae
872,3,PEA0272,EUGEOE,871,PEA.30.115.3,Eugenia,Eugenia oerstediana,Myrtaceae
873,77,PEA0273,PROTTE,320,PEA.30.130.77,Protium,Protium tenuifolium,Burseraceae
874,22,PEA0274,MAR2PA,461,PEA.30.135.22,Maripa,Maripa panamensis,Convolvulaceae
875,67,PEA0275,HYBAPR,481,PEA.30.135.67,Hybanthus,Hybanthus prunifolius,Violaceae
876,70,PEA0276,MAR2PA,341,PEA.30.135.70,Maripa,Maripa panamensis,Convolvulaceae
877,6,PEA0277,TET2PA,362,PEA.30.140.6,Tetragastris,Tetragastris panamensis,Burseraceae
878,13,PEA0278,HYBAPR,421,PEA.30.140.13,Hybanthus,Hybanthus prunifolius,Violaceae
879,16,PEA0279,HYBAPR,402,PEA.30.140.16,Hybanthus,Hybanthus prunifolius,Violaceae
880,22,PEA0280,TET2PA,251,PEA.30.140.22,Tetragastris,Tetragastris panamensis,Burseraceae
881,24,PEA0281,TET2PA,311,PEA.30.140.24,Tetragastris,Tetragastris panamensis,Burseraceae
882,39,PEA0282,TET2PA,251,PEA.30.140.39,Tetragastris,Tetragastris panamensis,Burseraceae
883,46,PEA0283,TET2PA,271,PEA.30.140.46,Tetragastris,Tetragastris panamensis,Burseraceae
884,52,PEA0284,TET2PA,301,PEA.30.140.52,Tetragastris,Tetragastris panamensis,Burseraceae
885,59,PEA0285,TET2PA,296,PEA.30.140.59,Tetragastris,Tetragastris panamensis,Burseraceae
886,94,PEA0286,TET2PA,311,PEA.30.140.94,Tetragastris,Tetragastris panamensis,Burseraceae
887,112,PEA0287,TET2PA,241,PEA.30.140.112,Tetragastris,Tetragastris panamensis,Burseraceae
888,179,PEA0288,TET2PA,231,PEA.30.140.179,Tetragastris,Tetragastris panamensis,Burseraceae
889,182,PEA0289,TET2PA,258,PEA.30.140.182,Tetragastris,Tetragastris panamensis,Burseraceae
890,186,PEA0290,TET2PA,241,PEA.30.140.186,Tetragastris,Tetragastris panamensis,Burseraceae
891,189,PEA0291,TET2PA,204,PEA.30.140.189,Tetragastris,Tetragastris panamensis,Burseraceae
892,196,PEA0292,TET2PA,231,PEA.30.140.196,Tetragastris,Tetragastris panamensis,Burseraceae
893,21,PEA0293,ACALDI,311,PEA.30.150.21,Acalypha,Acalypha diversifolia,Euphorbiaceae
894,14,PEA0294,DOLIOL,341,PEA.30.155.14,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
895,2,PEA0295,HYBAPR,541,PEA.30.165.2,Hybanthus,Hybanthus prunifolius,Violaceae
896,28,PEA0296,CAPPFR,541,PEA.30.175.28,Capparidastrum,Capparidastrum frondosum,Capparaceae
897,19,PEA0297,LACIAG,746,PEA.30.185.19,Lacistema,Lacistema aggregatum,Lacistemataceae
898,24,PEA0298,MAR2PA,440,PEA.30.185.24,Maripa,Maripa panamensis,Convolvulaceae
899,38,PEA0299,SWARS2,432,PEA.35.10.38,Swartzia,Swartzia simplex var. continentalis,Fabaceae
900,31,PEA0300,LACIAG,434,PEA.35.15.31,Lacistema,Lacistema aggregatum,Lacistemataceae
901,36,PEA0301,CAPPFR,407,PEA.35.15.36,Capparidastrum,Capparidastrum frondosum,Capparaceae
902,42,PEA0302,MAR2PA,268,PEA.35.15.42,Maripa,Maripa panamensis,Convolvulaceae
903,49,PEA0303,MAR2PA,357,PEA.35.15.49,Maripa,Maripa panamensis,Convolvulaceae
904,62,PEA0304,CAPPFR,242,PEA.35.15.62,Capparidastrum,Capparidastrum frondosum,Capparaceae
905,77,PEA0305,EUGEOE,237,PEA.35.15.77,Eugenia,Eugenia oerstediana,Myrtaceae
906,48,PEA0306,MOURMY,847,PEA.35.35.48,Mouriri,Mouriri myrtilloides,Melastomataceae
907,32,PEA0307,CHR2CA,277,PEA.35.50.32,Chrysophyllum,Chrysophyllum cainito,Sapotaceae
908,98,PEA0308,MOURMY,226,PEA.35.95.98,Mouriri,Mouriri myrtilloides,Melastomataceae
909,40,PEA0309,MOURMY,582,PEA.35.105.40,Mouriri,Mouriri myrtilloides,Melastomataceae
910,43,PEA0310,CHR2CA,215,PEA.35.105.43,Chrysophyllum,Chrysophyllum cainito,Sapotaceae
911,176,PEA0311,PRI1AS,342,PEA.35.105.176,Prionostemma,Prionostemma asperum,Celastraceae
912,180,PEA0312,PRI1AS,457,PEA.35.105.180,Prionostemma,Prionostemma asperum,Celastraceae
913,182,PEA0313,HYBAPR,544,PEA.35.105.182,Hybanthus,Hybanthus prunifolius,Violaceae
914,198,PEA0314,HYBAPR,543,PEA.35.105.198,Hybanthus,Hybanthus prunifolius,Violaceae
915,47,PEA0315,EUGEOE,561,PEA.35.120.47,Eugenia,Eugenia oerstediana,Myrtaceae
916,91,PEA0316,GUSTSU,257,PEA.35.120.91,Gustavia,Gustavia superba,Lecythidaceae
917,189,PEA0317,PROTTE,561,PEA.35.120.189,Protium,Protium tenuifolium,Burseraceae
918,196,PEA0318,RANDAR,99,PEA.35.120.196,Randia,Randia armata,Rubiaceae
919,60,PEA0319,HYBAPR,248,PEA.35.125.60,Hybanthus,Hybanthus prunifolius,Violaceae
920,86,PEA0320,FARAOC,124,PEA.35.125.86,Faramea,Faramea occidentalis,Rubiaceae
921,95,PEA0321,MOURMY,326,PEA.35.125.95,Mouriri,Mouriri myrtilloides,Melastomataceae
922,187,PEA0322,FARAOC,35,PEA.35.125.187,Faramea,Faramea occidentalis,Rubiaceae
923,193,PEA0323,MAR2PA,392,PEA.35.125.193,Maripa,Maripa panamensis,Convolvulaceae
924,46,PEA0324,TET2PA,234,PEA.35.140.46,Tetragastris,Tetragastris panamensis,Burseraceae
925,82,PEA0325,TET2PA,228,PEA.35.140.82,Tetragastris,Tetragastris panamensis,Burseraceae
926,83,PEA0326,TET2PA,274,PEA.35.140.83,Tetragastris,Tetragastris panamensis,Burseraceae
927,87,PEA0327,TET2PA,226,PEA.35.140.87,Tetragastris,Tetragastris panamensis,Burseraceae
928,186,PEA0328,TET2PA,244,PEA.35.140.186,Tetragastris,Tetragastris panamensis,Burseraceae
929,87,PEA0329,MAR2PA,433,PEA.35.155.87,Maripa,Maripa panamensis,Convolvulaceae
930,36,PEA0330,SWARS2,432,PEA.40.05.36,Swartzia,Swartzia simplex var. continentalis,Fabaceae
931,38,PEA0331,SWARS2,622,PEA.40.10.38,Swartzia,Swartzia simplex var. continentalis,Fabaceae
932,47,PEA0332,SWARS2,282,PEA.40.10.47,Swartzia,Swartzia simplex var. continentalis,Fabaceae
933,15,PEA0333,FARAOC,242,PEA.40.100.15,Faramea,Faramea occidentalis,Rubiaceae
934,26,PEA0334,FARAOC,226,PEA.40.100.26,Faramea,Faramea occidentalis,Rubiaceae
935,163,PEA0335,MAR2PA,231,PEA.40.105.163,Maripa,Maripa panamensis,Convolvulaceae
936,35,PEA0336,RANDAR,462,PEA.40.120.35,Randia,Randia armata,Rubiaceae
937,85,PEA0337,RANDAR,246,PEA.40.120.85,Randia,Randia armata,Rubiaceae
938,88,PEA0338,MOURMY,355,PEA.40.120.88,Mouriri,Mouriri myrtilloides,Melastomataceae
939,91,PEA0339,RANDAR,181,PEA.40.120.91,Randia,Randia armata,Rubiaceae
940,94,PEA0340,RANDAR,216,PEA.40.120.94,Randia,Randia armata,Rubiaceae
941,82,PEA0341,RANDAR,91,PEA.40.125.82,Randia,Randia armata,Rubiaceae
942,140,PEA0342,EUGEOE,221,PEA.40.135.140,Eugenia,Eugenia oerstediana,Myrtaceae
943,8,PEA0343,TET2PA,203,PEA.40.140.8,Tetragastris,Tetragastris panamensis,Burseraceae
944,36,PEA0344,TET2PA,224,PEA.40.140.36,Tetragastris,Tetragastris panamensis,Burseraceae
945,46,PEA0345,MAR2PA,235,PEA.40.140.46,Maripa,Maripa panamensis,Convolvulaceae
946,126,PEA0346,MOURMY,262,PEA.40.140.126,Mouriri,Mouriri myrtilloides,Melastomataceae
947,157,PEA0347,TET2PA,413,PEA.40.140.157,Tetragastris,Tetragastris panamensis,Burseraceae
948,162,PEA0348,PRI1AS,666,PEA.40.140.162,Prionostemma,Prionostemma asperum,Celastraceae
949,167,PEA0349,TET2PA,516,PEA.40.140.167,Tetragastris,Tetragastris panamensis,Burseraceae
950,171,PEA0350,TET2PA,686,PEA.40.140.171,Tetragastris,Tetragastris panamensis,Burseraceae
951,98,PEA0351,MAR2PA,251,PEA.45.00.98,Maripa,Maripa panamensis,Convolvulaceae
952,22,PEA0352,MAR2PA,338,PEA.45.05.22,Maripa,Maripa panamensis,Convolvulaceae
953,93,PEA0353,DES2PA,294,PEA.45.05.93,Desmopsis,Desmopsis panamensis,Annonaceae
954,10,PEA0354,MAR2PA,292,PEA.45.10.10,Maripa,Maripa panamensis,Convolvulaceae
955,16,PEA0355,FARAOC,226,PEA.45.10.16,Faramea,Faramea occidentalis,Rubiaceae
956,18,PEA0356,DOLIMA,342,PEA.45.10.18,Doliocarpus,Doliocarpus major,Dilleniaceae
957,41,PEA0357,DOLIMA,282,PEA.45.10.41,Doliocarpus,Doliocarpus major,Dilleniaceae
958,77,PEA0358,DOLIMA,241,PEA.45.10.77,Doliocarpus,Doliocarpus major,Dilleniaceae
959,84,PEA0359,DOLIMA,333,PEA.45.10.84,Doliocarpus,Doliocarpus major,Dilleniaceae
960,96,PEA0360,DOLIMA,732,PEA.45.10.96,Doliocarpus,Doliocarpus major,Dilleniaceae
961,98,PEA0361,DOLIMA,391,PEA.45.10.98,Doliocarpus,Doliocarpus major,Dilleniaceae
962,177,PEA0362,FARAOC,136,PEA.45.10.177,Faramea,Faramea occidentalis,Rubiaceae
963,12,PEA0363,SWARS2,321,PEA.45.20.12,Swartzia,Swartzia simplex var. continentalis,Fabaceae
964,95,PEA0364,MAR2PA,384,PEA.45.30.95,Maripa,Maripa panamensis,Convolvulaceae
965,11,PEA0365,DOLIMA,281,PEA.45.45.11,Doliocarpus,Doliocarpus major,Dilleniaceae
966,23,PEA0366,DOLIMA,310,PEA.45.45.23,Doliocarpus,Doliocarpus major,Dilleniaceae
967,45,PEA0367,DOLIMA,291,PEA.45.45.45,Doliocarpus,Doliocarpus major,Dilleniaceae
968,154,PEA0368,CHR2CA,404,PEA.45.45.154,Chrysophyllum,Chrysophyllum cainito,Sapotaceae
969,160,PEA0369,DOLIOL,206,PEA.45.45.160,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
970,163,PEA0370,DOLIMA,722,PEA.45.45.163,Doliocarpus,Doliocarpus major,Dilleniaceae
971,164,PEA0371,CAPPFR,656,PEA.45.45.164,Capparidastrum,Capparidastrum frondosum,Capparaceae
972,166,PEA0372,DOLIMA,335,PEA.45.45.166,Doliocarpus,Doliocarpus major,Dilleniaceae
973,169,PEA0373,LACIAG,701,PEA.45.45.169,Lacistema,Lacistema aggregatum,Lacistemataceae
974,173,PEA0374,LACIAG,655,PEA.45.45.173,Lacistema,Lacistema aggregatum,Lacistemataceae
975,175,PEA0375,SWARS2,572,PEA.45.45.175,Swartzia,Swartzia simplex var. continentalis,Fabaceae
976,184,PEA0376,DOLIMA,166,PEA.45.45.184,Doliocarpus,Doliocarpus major,Dilleniaceae
977,194,PEA0377,DOLIOL,301,PEA.45.45.194,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
978,117,PEA0378,EUGEOE,561,PEA.45.80.117,Eugenia,Eugenia oerstediana,Myrtaceae
979,6,PEA0379,HYBAPR,178,PEA.45.110.6,Hybanthus,Hybanthus prunifolius,Violaceae
980,22,PEA0380,ACALDI,31,PEA.45.110.22,Acalypha,Acalypha diversifolia,Euphorbiaceae
981,42,PEA0381,HYBAPR,214,PEA.45.110.42,Hybanthus,Hybanthus prunifolius,Violaceae
982,189,PEA0382,PROTTE,341,PEA.45.115.189,Protium,Protium tenuifolium,Burseraceae
983,18,PEA0383,CAPPFR,682,PEA.45.150.18,Capparidastrum,Capparidastrum frondosum,Capparaceae